[2020-10-20 22:00:58,067] INFO  [o.f.c.i.license.VersionPrinter] [] Flyway Community Edition 7.0.0 by Redgate
[2020-10-20 22:03:50,724] INFO  [o.f.c.i.license.VersionPrinter] [] Flyway Community Edition 7.0.0 by Redgate
[2020-10-20 22:03:50,836] INFO  [o.f.c.i.database.base.DatabaseType] [] Database: jdbc:postgresql://127.0.0.1:5432/social_network (PostgreSQL 13.0)
[2020-10-20 22:03:50,849] WARN  [o.f.c.i.database.base.Database] [] Flyway upgrade recommended: org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@4a951911 13.0 is newer than this version of Flyway and support has not been tested. The latest supported version of org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabaseType@4a951911 is 12.
[2020-10-20 22:03:50,903] INFO  [o.f.core.internal.command.DbValidate] [] Successfully validated 1 migration (execution time 00:00.032s)
[2020-10-20 22:03:50,918] INFO  [o.f.core.internal.command.DbMigrate] [] Current version of schema "public": 1
[2020-10-20 22:03:50,920] INFO  [o.f.core.internal.command.DbMigrate] [] Schema "public" is up to date. No migration necessary.
[2020-10-20 22:03:51,048] INFO  [com.zaxxer.hikari.HikariDataSource] [] database.postgres - Starting...
[2020-10-20 22:03:51,062] INFO  [com.zaxxer.hikari.HikariDataSource] [] database.postgres - Start completed.
[2020-10-20 22:03:52,156] INFO  [com.yusupov.social_network.Main$] [] RestApi bounds to /127.0.0.1:5000
